"ID" "CustomerID" "ReceivedAt" "DeviceReportedTime" "Facility" "Priority" "FromHost" "Message" "NTSeverity" "Importance" "EventSource" "EventUser" "EventCategory" "EventID" "EventBinaryData" "MaxAvailable" "CurrUsage" "MinUsage" "MaxUsage" "InfoUnitID" "SysLogTag" "EventLogType" "GenericFileName" "SystemID" "processid" "checksum"
"84" 49841502 NA "2015-12-09 00:00:54" "2015-12-09 00:00:56" 20 4 "ce014" " 00:00:56.332 3609 AUDIT nova.compute.resource_tracker [-] Free VCPUS: 8" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"85" 49841528 NA "2015-12-09 00:00:59" "2015-12-09 00:00:54" 20 4 "ucs03" " 00:00:54.132 29861 AUDIT nova.compute.resource_tracker [-] Auditing locally available compute resources" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"86" 49841529 NA "2015-12-09 00:00:59" "2015-12-09 00:00:54" 20 4 "ucs03" " 00:00:54.515 29861 AUDIT nova.compute.resource_tracker [-] Free ram (MB): 15692" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"87" 49841530 NA "2015-12-09 00:00:59" "2015-12-09 00:00:54" 20 4 "ucs03" " 00:00:54.516 29861 AUDIT nova.compute.resource_tracker [-] Free disk (GB): 93" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"88" 49841531 NA "2015-12-09 00:00:59" "2015-12-09 00:00:54" 20 4 "ucs03" " 00:00:54.516 29861 AUDIT nova.compute.resource_tracker [-] Free VCPUS: -12" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"89" 49841539 NA "2015-12-09 00:01:00" "2015-12-09 00:00:57" 20 4 "KR-08" " 00:00:57.881 40573 AUDIT nova.compute.resource_tracker [-] Auditing locally available compute resources" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"90" 49841540 NA "2015-12-09 00:01:00" "2015-12-09 00:00:50" 20 4 "ce010" " 00:00:50.452 30600 AUDIT nova.compute.resource_tracker [-] Auditing locally available compute resources" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"91" 49841541 NA "2015-12-09 00:01:00" "2015-12-09 00:00:50" 20 4 "ce010" " 00:00:50.650 30600 AUDIT nova.compute.resource_tracker [-] Free ram (MB): 23508" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"92" 49841542 NA "2015-12-09 00:01:00" "2015-12-09 00:00:50" 20 4 "ce010" " 00:00:50.650 30600 AUDIT nova.compute.resource_tracker [-] Free disk (GB): 915" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"93" 49841543 NA "2015-12-09 00:01:00" "2015-12-09 00:00:50" 20 4 "ce010" " 00:00:50.651 30600 AUDIT nova.compute.resource_tracker [-] Free VCPUS: 8" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
